City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
502,Sunland Park,US,82.81,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
509,Tuy Hoa,VN,75.61,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
510,Wanning,CN,78.94,overcast clouds,18.8003,110.3967,Paradise Hotel
514,Saint Anthony,US,77.14,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
516,Akhmim,EG,82.17,clear sky,26.5622,31.745,برج الماسة السكني
524,Samarai,PG,81.45,overcast clouds,-10.6167,150.6667,Nuli Sapi
528,Gigmoto,PH,81.12,broken clouds,13.7796,124.39,Cj's Travellers Inn
531,Uvira,CD,75.38,broken clouds,-3.4067,29.1458,Hotel Suzana
534,Lorengau,PG,83.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
540,Aguadilla,PR,84.65,broken clouds,18.4275,-67.1541,WSSM Surf House
541,Pasighat,IN,75.54,overcast clouds,28.0667,95.3333,Siang Guest House
547,Kaura Namoda,NG,80.33,clear sky,12.5898,6.5779,Moonlight Hotel
550,Baracoa,CU,81.09,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
554,Harindanga,IN,77.49,light rain,22.0383,88.3214,Hasanur Builders
556,Ormara,PK,79.34,clear sky,25.2088,64.6357,Kenara Colony House for Rent
557,Lady Lake,US,79.14,broken clouds,28.9175,-81.9229,"Holiday Inn Express & Suites the Villages, an IHG Hotel"
559,Mecca,SA,82.69,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
565,Diban,SY,82.33,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
566,Manokwari,ID,79.02,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
567,Bani,DO,87.24,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
571,Ukiah,US,88.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
573,Nioro,GM,78.67,light rain,13.35,-15.75,
575,Dorado,PR,84.72,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
577,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Pirineos
579,Laredo,US,80.89,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
