City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Kieta,PG,2022-09-29 16:22:46,-6.2167,155.6333,77.83,79,69,4.47
92,Bowen,AU,2022-09-29 16:22:47,-20.0167,148.2333,67.89,88,21,7.61
93,Yulara,AU,2022-09-29 16:22:47,-25.2406,130.9889,66.78,22,100,13.58
94,Provideniya,RU,2022-09-29 16:22:48,64.3833,-173.3,34.18,76,79,7.0
95,Kruisfontein,ZA,2022-09-29 16:22:48,-34.0033,24.7314,63.88,88,95,14.03
96,Sarai Alamgir,PK,2022-09-29 16:22:49,32.9012,73.7559,83.86,48,0,1.41
97,Payo,ID,2022-09-29 16:22:50,-3.7508,103.6372,75.0,84,97,2.66
98,Tura,IN,2022-09-29 16:22:52,25.5198,90.2201,74.66,94,9,2.82
99,Aguie,NE,2022-09-29 16:22:52,13.506,7.7786,93.87,33,71,4.12
100,Pontianak,ID,2022-09-29 16:22:53,-0.0333,109.3333,76.98,94,75,2.3
101,Batemans Bay,AU,2022-09-29 16:22:54,-35.7167,150.1833,56.1,88,100,10.65
102,Kloulklubed,PW,2022-09-29 16:22:54,7.0419,134.2556,77.5,72,5,12.41
103,Belene,BG,2022-09-29 16:22:55,43.65,25.1167,74.59,42,82,12.28
104,Pevek,RU,2022-09-29 16:22:55,69.7008,170.3133,26.4,70,1,5.53
105,Lexington Park,US,2022-09-29 16:22:56,38.2668,-76.4538,65.88,61,75,16.11
106,Maymyo,MM,2022-09-29 16:22:57,22.0333,96.4667,68.56,89,100,2.48
107,Loandjili,CG,2022-09-29 16:22:57,-4.7561,11.8578,77.88,77,75,8.97
108,Chokurdakh,RU,2022-09-29 16:22:58,70.6333,147.9167,20.91,88,85,3.98
109,Nalut,LY,2022-09-29 16:22:58,30.3333,10.85,91.83,15,0,3.27
110,Raga,SS,2022-09-29 16:22:59,8.4596,25.678,74.46,89,61,3.94
111,San Patricio,US,2022-09-29 16:23:01,28.017,-97.5169,84.15,44,0,7.63
112,Visnes,NO,2022-09-29 16:23:02,59.3556,5.2242,61.18,54,0,8.05
113,Huarmey,PE,2022-09-29 16:23:03,-10.0681,-78.1522,66.6,71,55,9.98
